Rank,Sourceid,Title,Type,Issn,SJR,SJR Best Quartile,H index,Total Docs. (2020),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories
1239,22476,Informacion Tecnologica,journal,"07180764, 07168756","0,218",Q3,14,136,482,4059,283,472,0.57,29.85,Chile,Latin America,Centro de Informacion Tecnologica,1996-2020,"Multidisciplinary (Q2); Agricultural and Biological Sciences (miscellaneous) (Q3); Business, Management and Accounting (miscellaneous) (Q3); Chemical Engineering (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Energy (miscellaneous) (Q3); Food Science (Q3); Industrial and Manufacturing Engineering (Q3); Materials Science (miscellaneous) (Q3); Computer Science Applications (Q4); Geotechnical Engineering and Engineering Geology (Q4); Strategy and Management (Q4)"
1240,21100220473,International Journal of Mobile Human Computer Interaction,journal,"1942390X, 19423918","0,218",Q4,17,10,49,657,60,49,1.12,65.7,United States,Northern America,The Information Resources Management Association (IRMA),2009-2020,Human-Computer Interaction (Q4)
1241,21100898958,Journal of Mathematics and Computer Science,journal,2008949X,"0,218",Q4,5,100,88,2429,74,88,0.84,24.29,Malaysia,Asiatic Region,,2018-2020,Computational Mechanics (Q3); Computational Mathematics (Q4); Computer Science Applications (Q4); Mathematics (miscellaneous) (Q4)
1242,21100916741,"Journal of Verification, Validation and Uncertainty Quantification",journal,"23772158, 23772166","0,218",Q4,4,0,28,0,32,28,1.14,0,United States,Northern America,The American Society of Mechanical Engineers(ASME),2018-2019,Computational Theory and Mathematics (Q4); Computer Science Applications (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4)
1243,24449,Kybernetika,journal,235954,"0,218",Q4,38,41,195,1348,198,182,1.05,32.88,Czech Republic,Eastern Europe,Academy of Sciences of the Czech Republic,"1961-1989, 1996-2020",Electrical and Electronic Engineering (Q3); Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Information Systems (Q4); Software (Q4); Theoretical Computer Science (Q4)
1244,21100902608,Turkish Journal of Computer and Mathematics Education,journal,13094653,"0,218",Q4,3,28,54,1455,18,54,0.33,51.96,Turkey,Middle East,Karadeniz Technical University,2018-2019,Education (Q3); Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Mathematics (miscellaneous) (Q4)
1245,21100199540,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",journal,"03650359, 18251242","0,217",Q3,11,37,133,1285,93,132,0.77,34.73,Italy,Western Europe,Accademia Peloritana dei Pericolanti,2004-2020,History and Philosophy of Science (Q2); Agricultural and Biological Sciences (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Mathematics (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)
1246,19700186738,Ad-Hoc and Sensor Wireless Networks,journal,"15519899, 15520633","0,217",Q3,21,38,128,1406,126,128,0.85,37,United States,Northern America,Old City Publishing,2005-2020,Computer Science (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3); Instrumentation (Q4)
1247,21100832514,International Journal of Standardization Research,journal,"24708550, 24708542","0,217",Q4,3,0,17,0,9,17,1,0,United States,Northern America,IGI Global Publishing,2015-2019,Management of Technology and Innovation (Q3); Computer Science Applications (Q4)
1248,21100200802,Journal of Information and Communication Technology,journal,"21803862, 1675414X","0,217",Q3,10,23,72,1007,152,72,2.04,43.78,Malaysia,Asiatic Region,Universiti Utara Malaysia Press,2011-2020,Computer Science (miscellaneous) (Q3); Mathematics (miscellaneous) (Q4)
1249,12170,"Modeling, Identification and Control",journal,"03327353, 18901328","0,217",Q4,26,13,47,517,49,47,1.03,39.77,Norway,Western Europe,Research Council of Norway,"1980-1989, 1996-2020",Computer Science Applications (Q4); Control and Systems Engineering (Q4); Modeling and Simulation (Q4); Software (Q4)
1250,12753,International Game Theory Review,journal,"02191989, 17936675","0,216",Q3,23,40,74,1116,47,71,0.51,27.9,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,2003-2020,"Business and International Management (Q3); Computer Science (miscellaneous) (Q3); Statistics, Probability and Uncertainty (Q4)"
1251,19900195075,International Journal of Communication Networks and Information Security,journal,"20760930, 2073607X","0,216",Q3,20,51,147,1845,185,147,1.18,36.18,Pakistan,Asiatic Region,"Institute of Information Technology, Kohat University of Science and Technology",2009-2020,Computer Networks and Communications (Q3); Software (Q4)
1252,21100922608,International Journal of Computational Materials Science and Engineering,journal,"2047685X, 20476841","0,216",Q4,8,25,56,811,66,56,1.38,32.44,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,"2012-2013, 2016-2020",Materials Science (miscellaneous) (Q3); Computer Science Applications (Q4); Mechanics of Materials (Q4); Modeling and Simulation (Q4); Numerical Analysis (Q4)
1253,21100886546,International Journal of Computer Mathematics: Computer Systems Theory,journal,"23799935, 23799927","0,216",Q4,5,25,48,624,34,47,0.67,24.96,United Kingdom,Western Europe,Taylor and Francis Ltd.,2016-2020,Computational Mathematics (Q4); Computational Theory and Mathematics (Q4)
1254,21100836592,International Journal of Technology Marketing,journal,"17418798, 1741878X","0,216",Q4,10,14,43,1149,41,40,0.42,82.07,Switzerland,Western Europe,Inderscience Publishers,2017-2020,Marketing (Q3); Computer Science Applications (Q4)
1255,21100463068,"International Journal on Advanced Science, Engineering and Information Technology",journal,"20885334, 24606952","0,216",Q3,22,349,994,9957,1065,994,1.06,28.53,Indonesia,Asiatic Region,,2015-2020,Agricultural and Biological Sciences (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Engineering (miscellaneous) (Q3)
1256,18056,Jiqiren/Robot,journal,10020446,"0,216",Q4,25,70,296,2414,337,296,1.09,34.49,China,Asiatic Region,Chinese Academy of Sciences,"1998, 2001-2020",Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Applied Mathematics (Q4); Artificial Intelligence (Q4); Modeling and Simulation (Q4); Software (Q4)
1257,26714,Jisuanji Yanjiu yu Fazhan/Computer Research and Development,journal,10001239,"0,216",Q3,36,206,690,8198,736,690,1.02,39.8,China,Asiatic Region,Science Press,"1998, 2001-2020",Computer Networks and Communications (Q3); Hardware and Architecture (Q4); Software (Q4)
1258,20432,Software Testing Verification and Reliability,journal,"10991689, 09600833","0,216",Q4,49,28,64,1206,106,45,1.7,43.07,United Kingdom,Western Europe,John Wiley and Sons Ltd,1991-2020,"Media Technology (Q2); Safety, Risk, Reliability and Quality (Q3); Software (Q4)"
1259,21100201073,"Journal of Institute of Control, Robotics and Systems",journal,19765622,"0,215",Q4,11,143,457,2599,243,457,0.67,18.17,South Korea,Asiatic Region,"Institute of Control, Robotics and Systems",2008-2020,Applied Mathematics (Q4); Control and Systems Engineering (Q4); Software (Q4)
1260,10700153302,International Journal of Data Mining and Bioinformatics,journal,"17485681, 17485673","0,214",Q4,21,41,122,1482,107,122,0.77,36.15,United Kingdom,Western Europe,Inderscience Enterprises Ltd.,2006-2015,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Library and Information Sciences (Q3); Information Systems (Q4)"
1261,20964,Journal of Flow Visualization and Image Processing,journal,10653090,"0,214",Q4,12,21,61,566,27,59,0.64,26.95,United States,Northern America,Begell House Inc.,1996-2020,Mechanical Engineering (Q3); Computer Science Applications (Q4); Condensed Matter Physics (Q4)
1262,12288,Nonlinear Optics Quantum Optics,journal,15430537,"0,214",Q3,20,25,90,878,70,90,0.82,35.12,United States,Northern America,Old City Publishing,2003-2020,"Computer Science (miscellaneous) (Q3); Atomic and Molecular Physics, and Optics (Q4); Electronic, Optical and Magnetic Materials (Q4); Instrumentation (Q4); Statistical and Nonlinear Physics (Q4)"
1263,19913,Ruan Jian Xue Bao/Journal of Software,journal,10009825,"0,214",Q4,63,231,731,10905,845,731,1.07,47.21,China,Asiatic Region,Chinese Academy of Sciences,1995-2020,Software (Q4)
1264,300147006,Innovations in Systems and Software Engineering,journal,"16145054, 16145046","0,213",Q4,27,26,63,1006,87,59,1.07,38.69,United Kingdom,Western Europe,Springer London,2005-2020,Software (Q4)
1265,4500151542,International Journal of Intelligent Information Technologies,journal,"15483665, 15483657","0,213",Q4,15,11,54,458,63,54,0.92,41.64,United States,Northern America,IGI Publishing,2005-2020,Decision Sciences (miscellaneous) (Q4); Information Systems (Q4)
1266,13012,RAIRO - Theoretical Informatics and Applications,journal,"1290385X, 09883754","0,213",Q4,30,5,42,126,30,40,0.77,25.2,France,Western Europe,EDP Sciences,1995-2020,Computer Science Applications (Q4); Mathematics (miscellaneous) (Q4); Software (Q4)
1267,23958,Journal of Multiple-Valued Logic and Soft Computing,journal,15423980,"0,212",Q4,24,9,160,247,114,155,0.85,27.44,United States,Northern America,Old City Publishing,2003-2020,Logic (Q4); Software (Q4); Theoretical Computer Science (Q4)
1268,21101017691,Annals of Emerging Technologies in Computing,journal,"2516029X, 25160281","0,211",Q3,7,30,61,877,88,51,1.52,29.23,United Kingdom,Western Europe,International Association for Educators and Researchers (IAER),2017-2020,Computer Science (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3)
1269,18936,IEICE Transactions on Communications,journal,"09168516, 17451345","0,211",Q3,56,160,737,3559,566,710,0.74,22.24,Japan,Asiatic Region,"Maruzen Co., Ltd/Maruzen Kabushikikaisha",1993-2020,Computer Networks and Communications (Q3); Electrical and Electronic Engineering (Q3); Software (Q4)
1270,21100259128,Journal of Advances in Information Fusion,journal,15576418,"0,211",Q3,12,0,43,0,73,40,0.9,0,United States,Northern America,,2013-2019,Computer Vision and Pattern Recognition (Q3); Information Systems (Q4); Signal Processing (Q4)
1271,19700174668,Annual Review of CyberTherapy and Telemedicine,journal,15548716,"0,210",Q3,15,0,91,0,59,87,0.71,0,Belgium,Western Europe,Virtual Reality Medical Institute,2009-2019,Computer Science (miscellaneous) (Q3); Psychology (miscellaneous) (Q3); Rehabilitation (Q3); Neuroscience (miscellaneous) (Q4)
1272,21100223333,International Journal of Distributed Systems and Technologies,journal,"19473540, 19473532","0,210",Q3,13,19,54,487,50,54,0.92,25.63,United States,Northern America,IGI Publishing,2010-2020,Computer Networks and Communications (Q3); Hardware and Architecture (Q4)
1273,12962,Journal of Intelligent Systems,journal,"03341860, 2191026X","0,210",Q4,20,130,128,4589,174,127,1.83,35.3,Germany,Western Europe,Walter de Gruyter GmbH,"1991-2002, 2004-2020",Artificial Intelligence (Q4); Information Systems (Q4); Software (Q4)
1274,19900191768,Control Engineering and Applied Informatics,journal,14548658,"0,209",Q3,18,25,123,789,134,123,0.97,31.56,Romania,Eastern Europe,Romanian Society of Control Engineering and Technical Informatics,2010-2020,Computer Science (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3)
1275,21100301442,International Journal of Electronic Governance,journal,"17427517, 17427509","0,209",Q4,17,20,63,945,37,53,0.58,47.25,Switzerland,Western Europe,Inderscience Publishers,2007-2013,Sociology and Political Science (Q3); Computer Science Applications (Q4); Public Administration (Q4)
1276,21100200639,Journal of Gaming and Virtual Worlds,journal,"1757191X, 17571928","0,209",Q3,12,13,48,525,31,43,0.59,40.38,United Kingdom,Western Europe,Intellect Ltd.,2009-2020,Computer Graphics and Computer-Aided Design (Q3); Computer Science Applications (Q4); Human-Computer Interaction (Q4)
1277,21100935071,Journal of Internet Services and Information Security,journal,"21822077, 21822069","0,209",Q3,3,25,19,765,25,19,1.32,30.6,South Korea,Asiatic Region,Innovative Information Science and Technology Research Group,2019-2020,Computer Networks and Communications (Q3); Computer Science (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3); Computer Science Applications (Q4); Information Systems (Q4); Software (Q4)
1278,21100864387,International Journal of Swarm Intelligence Research,journal,"19479263, 19479271","0,208",Q4,4,20,43,801,42,43,1.1,40.05,United States,Northern America,IGI Global Publishing,2017-2020,Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Computer Science Applications (Q4)
1279,21101017597,Journal of Biosystems Engineering,journal,"22341862, 17381266","0,208",Q4,3,42,31,1465,34,31,1.1,34.88,Switzerland,Western Europe,Springer Nature Switzerland AG,2019-2020,Agricultural and Biological Sciences (miscellaneous) (Q3); Engineering (miscellaneous) (Q3); Mechanical Engineering (Q3); Computer Science Applications (Q4)
1280,6400153154,Journal of Control Science and Engineering,journal,"16875249, 16875257","0,208",Q4,18,32,182,901,181,175,1,28.16,United States,Northern America,Hindawi Publishing Corporation,2007-2020,Electrical and Electronic Engineering (Q3); Computer Science Applications (Q4); Modeling and Simulation (Q4)
1281,21100198205,International Journal of Communication Networks and Distributed Systems,journal,"17543916, 17543924","0,207",Q3,17,41,138,1785,198,138,1.58,43.54,Switzerland,Western Europe,Inderscience Publishers,"2008-2014, 2018, 2020",Computer Networks and Communications (Q3)
1282,21100223336,International Journal of Human Capital and Information Technology Professionals,journal,"19473486, 19473478","0,207",Q3,13,15,57,911,58,57,1.06,60.73,United States,Northern America,IGI Publishing,2010-2020,Computer Science (miscellaneous) (Q3); Management of Technology and Innovation (Q3)
1283,28587,Biomedical Instrumentation and Technology,journal,8998205,"0,206",Q3,28,108,376,752,58,259,0.12,6.96,United States,Northern America,Association for the Advancement of Medical Instrumentation,1989-2020,Computer Networks and Communications (Q3); Biomedical Engineering (Q4)
1284,21100211724,Intelligent Decision Technologies,journal,"18724981, 18758843","0,206",Q3,13,49,108,1675,148,105,1.24,34.18,Netherlands,Western Europe,IOS Press,2007-2020,Computer Vision and Pattern Recognition (Q3); Artificial Intelligence (Q4); Human-Computer Interaction (Q4); Software (Q4)
1285,17600155052,Optical Memory and Neural Networks (Information Optics),journal,"19347898, 1060992X","0,206",Q3,19,35,100,855,115,100,1.24,24.43,United States,Northern America,Pleiades Publishing,2008-2020,"Computer Science (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3); Electronic, Optical and Magnetic Materials (Q4)"
1286,21100850743,"Radioelektronika, Nanosistemy, Informacionnye Tehnologii",journal,"22183000, 24141267","0,204",Q3,5,56,96,1339,39,96,0.39,23.91,Russian Federation,Eastern Europe,Russian Academy of Natural Science,2017-2020,"Computer Networks and Communications (Q3); Electronic, Optical and Magnetic Materials (Q4); Hardware and Architecture (Q4); Information Systems (Q4); Materials Science (miscellaneous) (Q4)"
1287,26802,International Journal of Speech Technology,journal,"13812416, 15728110","0,203",Q4,29,106,264,3706,452,263,1.8,34.96,Netherlands,Western Europe,Springer Netherlands,"1995, 1997-2020",Language and Linguistics (Q2); Linguistics and Language (Q2); Computer Vision and Pattern Recognition (Q4); Human-Computer Interaction (Q4); Software (Q4)
1288,25021,IEEE Annals of the History of Computing,journal,10586180,"0,202",Q3,23,39,101,1276,26,83,0.24,32.72,United States,Northern America,IEEE Computer Society,1992-2020,History and Philosophy of Science (Q2); Computer Science (miscellaneous) (Q3)
1289,21100902603,Informatsionno-Upravliaiushchie Sistemy,journal,"25418610, 16848853","0,202",Q4,6,46,132,1271,91,132,0.69,27.63,Russian Federation,Eastern Europe,Saint Petersburg State University of Aerospace Instrumentation,2018-2020,Computer Science Applications (Q4); Control and Optimization (Q4); Control and Systems Engineering (Q4); Human-Computer Interaction (Q4); Information Systems (Q4); Software (Q4)
1290,21100795207,Journal of Telecommunications and the Digital Economy,journal,22031693,"0,202",Q3,6,31,93,954,64,93,0.89,30.77,Australia,Pacific Region,Telecommunications Association Inc.,2015-2020,Media Technology (Q2); Communication (Q3); Computer Networks and Communications (Q3); Management of Technology and Innovation (Q3); Computer Science Applications (Q4)
1291,28931,Journal of Computer Security,journal,"0926227X, 18758924","0,201",Q3,56,16,68,888,89,68,1.15,55.5,Netherlands,Western Europe,IOS Press,1992-2020,"Computer Networks and Communications (Q3); Safety, Risk, Reliability and Quality (Q3); Hardware and Architecture (Q4); Software (Q4)"
1292,21100868216,Engineering and Applied Science Research,journal,"25396218, 25396161","0,200",Q4,5,48,122,1662,86,122,0.79,34.63,Thailand,Asiatic Region,"Faculty of Engineering, Khon Kaen University",2017-2020,Engineering (miscellaneous) (Q3); Computer Science Applications (Q4)
1293,15109,IEICE Transactions on Information and Systems,journal,"17451361, 09168532","0,200",Q4,49,319,1125,7789,929,1084,0.84,24.42,Japan,Asiatic Region,"Maruzen Co., Ltd/Maruzen Kabushikikaisha",1993-2020,Electrical and Electronic Engineering (Q3); Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Hardware and Architecture (Q4); Software (Q4)
1294,19700186821,International Journal of Web Based Communities,journal,"17418216, 14778394","0,200",Q3,23,23,74,1201,68,68,0.85,52.22,United Kingdom,Western Europe,Inderscience Enterprises Ltd.,"2004-2014, 2020",Communication (Q3); Computer Networks and Communications (Q3); Education (Q4); Software (Q4)
1295,21100400012,"Proceedings of International Conference of the Learning Sciences, ICLS",journal,18149316,"0,199",Q3,12,0,453,0,186,449,0.41,0,United States,Northern America,,"2014, 2016, 2018",Computer Science (miscellaneous) (Q3); Education (Q4)
1296,21101020041,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",journal,24749567,"0,199",Q3,5,168,35,11164,73,35,2.09,66.45,United States,Northern America,Association for Computing Machinery (ACM),2019-2020,Computer Networks and Communications (Q3); Hardware and Architecture (Q4); Human-Computer Interaction (Q4)
1297,21100831441,TEM Journal,journal,"22178309, 22178333","0,199",Q3,10,233,444,4597,423,444,1.01,19.73,Serbia,Eastern Europe,UIKTEN - Association for Information Communication Technology Education and Science,2017-2020,Computer Science (miscellaneous) (Q3); Information Systems and Management (Q3); Education (Q4); Information Systems (Q4); Management of Technology and Innovation (Q4); Strategy and Management (Q4)
1298,21100925870,World Journal on Educational Technology: Current Issues,journal,"13090348, 13091506","0,199",Q3,5,29,55,1210,46,51,0.84,41.72,Cyprus,Western Europe,,2019-2020,Computer Science (miscellaneous) (Q3); Education (Q4); Management of Technology and Innovation (Q4)
1299,21100898825,Aloma,journal,"23399694, 11383194","0,198",Q3,3,20,26,844,24,23,0.92,42.2,Spain,Western Europe,"Facultat de Psicologia, Ciencies de l'Educacio i de l'Esport Blanquerna",2018-2020,"Computer Networks and Communications (Q3); Education (Q4); Physical Therapy, Sports Therapy and Rehabilitation (Q4); Psychology (miscellaneous) (Q4)"
1300,17294,Defence Science Journal,journal,"0011748X, 0976464X","0,198",Q4,32,93,274,2282,236,269,0.83,24.54,India,Asiatic Region,Defense Scientific Information and Documentation Centre,"1970-1989, 1991-2020",Chemical Engineering (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3); Biomedical Engineering (Q4); Computer Science Applications (Q4); Mechanical Engineering (Q4); Physics and Astronomy (miscellaneous) (Q4)
1301,21100781741,Journal of Cyber Security and Mobility,journal,"22454578, 22451439","0,198",Q3,9,18,73,579,61,73,0.86,32.17,Denmark,Western Europe,River Publishers,2012-2020,Computer Networks and Communications (Q3); Hardware and Architecture (Q4)
1302,12100154806,International Journal of e-Business Research,journal,"1548114X, 15481131","0,197",Q4,22,12,66,870,55,66,0.93,72.5,United States,Northern America,IGI Publishing,2005-2020,Management Information Systems (Q3); Computer Science Applications (Q4)
1303,26149,International Journal of High Speed Electronics and Systems,journal,1291564,"0,197",Q4,24,0,85,0,58,79,0.55,0,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,"2002-2009, 2011-2019","Electrical and Electronic Engineering (Q3); Electronic, Optical and Magnetic Materials (Q4); Hardware and Architecture (Q4)"
1304,15489,International Journal of Nanoscience,journal,"17935350, 0219581X","0,197",Q4,25,62,231,2021,160,223,0.68,32.6,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,2004-2020,Electrical and Electronic Engineering (Q3); Bioengineering (Q4); Biotechnology (Q4); Computer Science Applications (Q4); Condensed Matter Physics (Q4); Materials Science (miscellaneous) (Q4); Nanoscience and Nanotechnology (Q4)
1305,7600153103,Malaysian Journal of Computer Science,journal,1279084,"0,197",Q3,18,31,86,1189,87,86,0.82,38.35,Malaysia,Asiatic Region,Faculty of Computer Science and Information Technology,1996-2020,Computer Science (miscellaneous) (Q3)
1306,21100247039,International Journal of Electronic Commerce Studies,journal,20739729,"0,196",Q4,9,7,29,349,36,29,0.9,49.86,Taiwan,Asiatic Region,Academy of Taiwan Information Systems Research,2013-2019,Computer Science Applications (Q4)
1307,16947,International Journal of Web Services Research,journal,"15465004, 15457362","0,196",Q3,27,12,57,427,58,57,0.79,35.58,United States,Northern America,IGI Publishing,2004-2020,Computer Networks and Communications (Q3); Information Systems (Q4); Software (Q4)
1308,21100851239,Mechatronic Systems and Control,journal,"25611771, 2561178X","0,196",Q4,18,34,78,726,51,78,0.69,21.35,Canada,Northern America,ACTA Press,2018-2020,Computer Science Applications (Q4); Control and Systems Engineering (Q4)
1309,25644,Presence: Teleoperators and Virtual Environments,journal,"15313263, 10547460","0,196",Q4,90,12,39,705,66,35,2,58.75,United States,Northern America,MIT Press Journals,1992-2020,Computer Vision and Pattern Recognition (Q4); Control and Systems Engineering (Q4); Human-Computer Interaction (Q4); Software (Q4)
1310,12492,Journal of Information Science and Engineering,journal,10162364,"0,195",Q4,37,84,228,2316,187,228,0.64,27.57,Taiwan,Asiatic Region,Institute of Information Science,"1993-1994, 1996-2020",Library and Information Sciences (Q3); Computational Theory and Mathematics (Q4); Hardware and Architecture (Q4); Human-Computer Interaction (Q4); Software (Q4)
1311,11600153445,Journal of Mathematics and the Arts,journal,"17513480, 17513472","0,194",Q3,9,64,57,310,28,53,0.32,4.84,United Kingdom,Western Europe,Taylor and Francis Ltd.,2007-2020,Visual Arts and Performing Arts (Q1); Computer Graphics and Computer-Aided Design (Q3); Mathematics (miscellaneous) (Q4)
1312,28511,Mathematical and Computer Modelling of Dynamical Systems,journal,13873954,"0,194",Q4,34,27,91,907,91,88,1.2,33.59,United Kingdom,Western Europe,Taylor and Francis Ltd.,1996-2020,Applied Mathematics (Q4); Computer Science Applications (Q4); Control and Systems Engineering (Q4); Modeling and Simulation (Q4); Software (Q4)
1313,21100867241,International Journal of Advanced Computer Science and Applications,journal,"21565570, 2158107X","0,193",Q3,18,1063,1849,32250,2018,1849,1.09,30.34,United Kingdom,Western Europe,Science and Information Organization,2017-2020,Computer Science (miscellaneous) (Q3)
1314,19700186844,International Journal of Mobile Computing and Multimedia Communications,journal,"19379412, 19379404","0,193",Q3,10,17,51,478,50,51,1.25,28.12,United States,Northern America,IGI Global Publishing,"2009-2014, 2016-2020",Computer Networks and Communications (Q3)
1315,21100983214,Journal of Scientometric Research,journal,"23200057, 23216654","0,193",Q4,3,31,26,1167,22,26,0.85,37.65,India,Asiatic Region,Phcog.Net,2019-2020,Library and Information Sciences (Q3); Computer Science Applications (Q4); Information Systems (Q4)
1316,21100778750,Proceedings of the Association for Information Science and Technology,journal,23739231,"0,193",Q3,14,2,578,32,269,576,0.43,16,United States,Northern America,John Wiley and Sons Inc.,2015-2019,Computer Science (miscellaneous) (Q3); Library and Information Sciences (Q3)
1317,21100208036,Foundations of Computing and Decision Sciences,journal,"23003405, 08676356","0,192",Q3,11,12,57,509,51,56,0.87,42.42,Germany,Western Europe,Walter de Gruyter GmbH,2012-2020,Computer Science (miscellaneous) (Q3); Theoretical Computer Science (Q4)
1318,19700186847,International Journal of Digital Crime and Forensics,journal,"19416210, 19416229","0,192",Q4,15,26,85,621,85,85,0.89,23.88,United States,Northern America,IGI Global Publishing,2009-2020,Software (Q4)
1319,5100155008,Journal of Microelectronics and Electronic Packaging,journal,"15514897, 15558037","0,192",Q3,17,18,40,282,26,40,0.84,15.67,United States,Northern America,IMAPS-International Microelectronics and Packaging Society,"2005-2012, 2014-2019","Computer Networks and Communications (Q3); Electrical and Electronic Engineering (Q3); Electronic, Optical and Magnetic Materials (Q4)"
1320,21100208072,Scalable Computing,journal,18951767,"0,192",Q3,18,60,115,1910,160,109,1.46,31.83,Romania,Eastern Europe,universitatea de vest,2005-2020,Computer Science (miscellaneous) (Q3)
1321,17700155303,International Journal of Biometrics,journal,"1755831X, 17558301","0,191",Q4,14,30,60,854,56,60,1.12,28.47,United Kingdom,Western Europe,Inderscience Enterprises Ltd.,"2009-2014, 2020",Electrical and Electronic Engineering (Q3); Applied Mathematics (Q4); Computer Science Applications (Q4); Computer Vision and Pattern Recognition (Q4)
1322,21100901130,International Journal of Humanities and Arts Computing,journal,"17538548, 17551706","0,191",Q3,3,15,33,529,11,28,0.33,35.27,United Kingdom,Western Europe,Edinburgh University Press,2018-2020,Arts and Humanities (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Human-Computer Interaction (Q4)
1323,19900191968,Journal of Communications Software and Systems,journal,18456421,"0,191",Q4,13,33,97,1160,103,94,1.04,35.15,Croatia,Eastern Europe,University of Split,2010-2020,Electrical and Electronic Engineering (Q3); Software (Q4)
1324,12324,Computer Systems Science and Engineering,journal,2676192,"0,190",Q3,26,28,107,761,105,102,1.32,27.18,United Kingdom,Western Europe,CRL Publishing,"1985-1988, 1990-2020",Computer Science (miscellaneous) (Q3); Control and Systems Engineering (Q4); Theoretical Computer Science (Q4)
1325,17300154986,ICIC Express Letters,journal,1881803X,"0,190",Q3,20,148,522,2601,247,522,0.68,17.57,Japan,Asiatic Region,ICIC Express Letters Office,2009-2020,Computer Science (miscellaneous) (Q3); Control and Systems Engineering (Q4)
1326,21100903186,International Journal of Computational Methods and Experimental Measurements,journal,"20460554, 20460546","0,190",Q4,9,35,233,836,115,222,0.49,23.89,United Kingdom,Western Europe,WITPress,2013-2020,Applied Mathematics (Q4); Computational Mathematics (Q4); Computational Mechanics (Q4); Computer Science Applications (Q4); Modeling and Simulation (Q4)
1327,21100869464,International Journal of Image and Graphics,journal,"02194678, 17936756","0,190",Q3,21,63,49,2308,72,49,1.47,36.63,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,"2001-2016, 2018-2020",Computer Graphics and Computer-Aided Design (Q3); Computer Science Applications (Q4); Computer Vision and Pattern Recognition (Q4)
1328,51658,NTT Technical Review,journal,13483447,"0,190",Q3,15,85,371,297,42,368,0.11,3.49,Japan,Asiatic Region,Nippon Telegraph and Telephone Corp.,2003-2019,Computer Networks and Communications (Q3); Electrical and Electronic Engineering (Q3); Computer Science Applications (Q4)
1329,11900154400,International Journal of Information Technology and Web Engineering,journal,"15541053, 15541045","0,189",Q3,14,21,65,709,66,65,1.13,33.76,United States,Northern America,IGI Publishing,2006-2020,Computer Science (miscellaneous) (Q3)
1330,21100929583,IT - Information Technology,journal,"21967032, 16112776","0,189",Q3,4,28,38,891,30,33,0.79,31.82,Germany,Western Europe,De Gruyter Oldenbourg,2019-2020,Computer Science (miscellaneous) (Q3)
1331,300147004,Journal of Educational Media and Library Sciences,journal,1013090X,"0,189",Q4,8,12,44,375,13,37,0.27,31.25,Taiwan,Asiatic Region,Tamkang University,2005-2019,Archeology (arts and humanities) (Q2); Conservation (Q2); Library and Information Sciences (Q3); Information Systems (Q4)
1332,26141,Parallel Processing Letters,journal,"1793642X, 01296264","0,189",Q4,31,25,52,507,41,49,0.68,20.28,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,1994-2020,Hardware and Architecture (Q4); Software (Q4); Theoretical Computer Science (Q4)
1333,26076,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",journal,9168508,"0,188",Q3,52,219,1028,4356,522,991,0.5,19.89,Japan,Asiatic Region,"Maruzen Co., Ltd/Maruzen Kabushikikaisha",1993-2020,Computer Graphics and Computer-Aided Design (Q3); Electrical and Electronic Engineering (Q3); Applied Mathematics (Q4); Signal Processing (Q4)
